Name,CountryOrg,Country OperatorOwner,OperatorOwner,Users,Purpose,Purpose2,Orbit,TypeOrbit,LongitudeOfGEO,Perigeekm,Apogeekm,Eccentricity,Inclinationdegrees,Periodminutes,LaunchMasskg,DryMasskg,Powerwatts,LaunchDate,ExpectedLifetime,Contractor,CountryContractor,LaunchSite,LaunchVehicle,COSPARNumber,NORADNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-7 (Americom-7  GE-7),USA,USA,SES World Skies,Commercial,Communications,,GEO,,-136.94,"35,773","35,798",2.97E-04,0.01,1436.08,"1,935",912,6 500 (EOL),,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-054B,26495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-8 (Americom-8  GE-8  Aurora 3),USA,USA,SES World Skies,Commercial,Communications,,GEO,,-139.00,"35,773","35,798",2.97E-04,0.03,1436.07,"2,015",919,"3,300",,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-081B,26639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-9 (Americom 9  GE-12),USA,USA,SES World Skies,Commercial,Communications,,GEO,,-82.95,"35,773","35,798",2.97E-04,0.05,1436.08,"4,100","2,000","10,000",11/17/3739,15+ yrs.,Alcatel Space Industries,France,Baikonur Cosmodrome,Proton K,2003-024A,27820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 2 ,NR,Israel,Israel Aircraft Industries,MilitaryCommercial,Communications,,GEO,,-3.98,"35,778","35,794",1.90E-04,0.05,1436.08,"1,400",646,1 900 (EOL),,12 yrs.,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Soyuz-Fregat ,2003-059A,28132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 3,NR,Israel,Space-Communication Ltd,MilitaryCommercial,Communications,,GEO,,-3.99,"35,783","35,789",7.12E-05,0.04,1436.1,,,,,12 yrs.,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 4,NR,Israel,Space-Communication Ltd,MilitaryCommercial,Communications,,GEO,,65.00,"35,633","35,796",1.94E-03,0.01,1432,,,,,12 yrs.,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,2013-045A,39237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amsat-Oscar 7 (AO-7),USA,USA,Amsat-NA,Civil,Communications,,LEO,Polar,0,"1,440","1,459",1.21E-03,101.4,114.9,29,,,###############################################################################################################################################################################################################################################################,,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,7530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F1 ,Canada,Canada,Telesat Canada Ltd. (BCE  Inc.),Commercial,Communications,,GEO,,-107.27,"35,778","35,793",1.78E-04,0.02,1436.08,"4,710","2,950",15 500 (EOL),,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F1R,Canada,Canada,Telesat Canada Ltd. (BCE  Inc.),Commercial,Communications,,GEO,,-107.30,"35,777","35,795",2.13E-04,0.02,1436.1,"4,500",,"10,000",1/6/4616,15 yrs.,EADS Astrium,FranceUKGermanySpain,Baikonur Cosmodrome,Proton M,2005-036A,28868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F2 ,Canada,Canada,Telesat Canada Ltd. (BCE  Inc.),Commercial,Communications,,GEO,,-111.07,"35,781","35,790",1.07E-04,0.01,1436.08,"5,910","3,805","16,000",,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
